番号,33,
名前,嘉德,
呼び名,嘉德,
基礎,0,1800
基礎,1,1800
フラグ,1,1
フラグ,9,1
フラグ,11,15
フラグ,12,15
フラグ,13,15
フラグ,14,15
フラグ,16,-1
フラグ,41,207
フラグ,45,0
フラグ,46,0
フラグ,151,200
フラグ,420,1
フラグ,550,-1
フラグ,800,3
素質,0;处女
素質,11;反抗心
素質,15;高姿态
素質,16;嚣张
素質,18;傲娇
素質,23;好奇心
素質,27;戒备森严
素質,28;爱表现
素質,34;抵抗
素質,37;把柄
素質,42;容易湿
素質,50;快速学习
素質,56;抗药性
素質,69;抵抗诱惑
素質,70;接受快感
素質,84;嫉妒
素質,100;娇小
素質,102;阴蒂敏感
素質,104;私处敏感
素質,106;肛门敏感
素質,108;乳房敏感
素質,111;快速回复
素質,113;魅力
素質,117;治疗
素質,118;鼓舞
素質,126;高人气
素質,150;从不自慰
素質,152;不受洗脑
素質,202;神官
素質,241;魔术
素質,242;法术
素質,243;奇袭
素質,249;铁壁
素質,250;咒术
素質,252;先制
素質,255;白皙
素質,257;魔法耐性
素質,258;俊足
素質,273;私处封印
素質,300,11;粉发
素質,301,6;大波浪
素質,302,201;长
素質,303,3;层剪
素質,304,11;鱼骨辫
素質,305,3;神秘的
素質,306,4;金色
素質,307,1;肉感的
素質,308,101;标准
素質,309,1;粉红色
素質,310,100;标准
素質,311,100;标准
素質,312,24;长睫毛
素質,313,22;扶额
素質,314,6;天使
素質,315,2;修女
素質,316,16;为了和平
素質,317,9;使命
CSTR,60,本宫,;第一人称
